869-1101,菊池郡菊陽町津久礼７９２－２１,,,株式会社　東築建設,428,1,2024 年 03 月 31 日,,,
3月1日,1004724,九品寺2丁目歩道改修工事,428,,9108,1:3 -ﾓﾙﾀﾙ -BB,0.5,29900,14950,工場渡し
3月1日,1737738,長塚2号線外道路築造工事,428,,251,24  -8   -20 -BB,1.75,20500,35875,小型割増
3月2日,1008773,宇土,428,,225,18  -12  -20 -BB,1.5,20100,30150,
3月2日,1008910,熊本市南区富合町小岩瀬造成工事,428,,225,18  -12  -20 -BB,1,20100,20100,
3月2日,,熊本市南区富合町小岩瀬造成工事,428,,,空積料,1台,2500,2500,
3月2日,1033321,群窪造成工事,428,,373,18  -8   -20 -H,3.25,18250,59312,
3月4日,1008910,熊本市南区富合町小岩瀬造成工事,428,,239,21  -12  -20 -BB,2.5,20600,51500,
3月4日,1010952,新山原水線,428,,237,21  -8   -20 -BB,0.5,16600,8300,工場渡し
3月4日,1737342,大津杉水造成工事(アラキ不動産),428,,225,18  -12  -20 -BB,1,16100,16100,工場渡し
3月4日,1737738,長塚2号線外道路築造工事,428,,251,24  -8   -20 -BB,1.5,20500,30750,小型割増
3月5日,1008868,南区合志2丁目造成工事(吉田),428,,239,21  -12  -20 -BB,0.75,16600,12450,工場渡し
3月6日,113666,嘉島町上島造成工事,428,,225,18  -12  -20 -BB,1.25,16100,20125,工場渡し
3月6日,1008773,宇土,428,,225,18  -12  -20 -BB,3.5,20100,70350,
3月6日,1010194,富合廻江３期,428,,223,18  -8   -20 -BB,1.25,19100,23875,工場渡し
3月6日,1032384,かすみヶ丘,428,,223,18  -8   -20 -BB,1.25,17100,21375,
3月6日,,かすみヶ丘,428,,,空積料,1台,2500,2500,
3月6日,1737280,下戸橋2期工事,428,,81,30  -12  -20 -N,2.5,21600,54000,小型割増
3月6日,1737280,下戸橋2期工事,428,,204,試験一式,1,8000,8000,
3月6日,1737280,下戸橋2期工事,428,,321,塩分試験一式,1,2000,2000,
3月6日,1737280,下戸橋2期工事,428,,326,単位水量ｴｱﾒｰﾀ,1,5000,5000,
3月6日,1737342,大津杉水造成工事(アラキ不動産),428,,225,18  -12  -20 -BB,2.5,17100,42750,
3月7日,113666,嘉島町上島造成工事,428,,225,18  -12  -20 -BB,0.5,16100,8050,工場渡し
3月7日,1008910,熊本市南区富合町小岩瀬造成工事,428,,239,21  -12  -20 -BB,3,20600,61800,
3月7日,1010041,北区麻生田4丁目造成工事,428,,225,18  -12  -20 -BB,3.5,20100,70350,
3月7日,1010041,麻生田,428,,563,再生ｸﾗｯｼｬﾗﾝ積込,1,1500,1500,3t車
3月7日,1010041,麻生田,428,,563,再生ｸﾗｯｼｬﾗﾝ積込,2,1000,2000,2t車
3月7日,1032384,かすみヶ丘,428,,225,18  -12  -20 -BB,2,17100,34200,
3月7日,1033321,群窪造成工事,428,,224,18  -10  -20 -BB,2.5,17100,42750,
3月7日,1737738,長塚2号線外道路築造工事,428,,251,24  -8   -20 -BB,1.75,20500,35875,小型割増
3月8日,1010952,新山原水線,428,,237,21  -8   -20 -BB,3,16600,49800,工場渡し
3月8日,1032384,かすみヶ丘,428,,223,18  -8   -20 -BB,1.75,17100,29925,
3月9日,1010041,麻生田4丁目,428,,225,18  -12  -20 -BB,0.5,19100,9550,工場渡し
3月9日,1010952,新山原水線,428,,237,21  -8   -20 -BB,0.5,16600,8300,工場渡し
3月9日,1737738,長塚2号線,428,,251,24  -8   -20 -BB,1.75,17000,29750,工場渡し
3月11日,113666,嘉島町上島造成工事,428,,225,18  -12  -20 -BB,0.5,16100,8050,工場渡し
3月11日,1008773,宇土,428,,225,18  -12  -20 -BB,2.5,20100,50250,
3月11日,1010041,麻生田4丁目,428,,225,18  -12  -20 -BB,0.5,19100,9550,工場渡し
3月11日,1010058,北区植木町荻迫造成,428,,224,18  -10  -20 -BB,1.5,19100,28650,工場渡し
3月11日,1737738,長塚2号線外道路築造工事,428,,251,24  -8   -20 -BB,1.5,20500,30750,小型割増
3月12日,1008773,宇土,428,,225,18  -12  -20 -BB,1.5,20100,30150,
,,,,,,,,,,
5478423,0,5478423,2877392,287739,3165131,8643554,0,0,,
869-1101,菊池郡菊陽町津久礼７９２－２１,,,株式会社　東築建設,428,2,2024 年 03 月 31 日,,,
3月12日,1010041,麻生田4丁目,428,,225,18  -12  -20 -BB,0.75,19100,14325,工場渡し
3月12日,1737738,長塚2号線外道路築造工事,428,,251,24  -8   -20 -BB,1,20500,20500,小型割増
3月12日,,長塚2号線外道路築造工事,428,,,空積料,1台,2500,2500,
3月13日,1010041,麻生田4丁目,428,,225,18  -12  -20 -BB,0.75,19100,14325,工場渡し
3月13日,1032384,かすみヶ丘地区住宅開発造成工事,428,,225,18  -12  -20 -BB,2.25,17100,38475,
3月14日,1008868,南区合志2丁目造成工事(吉田),428,,223,18  -8   -20 -BB,0.75,16100,12075,工場渡し
3月14日,1010041,麻生田4丁目,428,,225,18  -12  -20 -BB,0.25,19100,4775,工場渡し
3月14日,1010058,北区植木町荻迫造成,428,,223,18  -8   -20 -BB,0.5,19100,9550,工場渡し
3月14日,1737342,大津杉水造成工事(アラキ不動産),428,,225,18  -12  -20 -BB,1.75,17100,29925,
3月15日,113666,嘉島町上島造成工事,428,,225,18  -12  -20 -BB,8,17100,136800,
3月15日,114510,会富造成工事,428,,225,18  -12  -20 -BB,3,19100,57300,工場渡し
3月15日,114510,会富造成工事,428,,225,18  -12  -20 -BB,0.3,19100,5730,工場渡し
3月15日,1010058,植木町荻迫造成工事,428,,223,18  -8   -20 -BB,0.25,19100,4775,工場渡し
3月15日,1015573,城南舞原造成工事,428,,238,21  -10  -20 -BB,1.5,20600,30900,
3月15日,1032384,かすみヶ丘,428,,224,18  -10  -20 -BB,1,17100,17100,
3月15日,,かすみヶ丘,428,,,空積料,1台,2500,2500,
3月16日,113666,嘉島町上島造成工事,428,,225,18  -12  -20 -BB,4,17100,68400,
3月16日,1008773,宇土,428,,225,18  -12  -20 -BB,3.5,20100,70350,
3月16日,1008910,熊本市南区富合町小岩瀬造成工事,428,,225,18  -12  -20 -BB,1.5,20100,30150,
3月16日,1010041,北区麻生田4丁目造成工事,428,,225,18  -12  -20 -BB,1.25,19100,23875,工場渡し
3月16日,1010952,新山原水線,428,,237,21  -8   -20 -BB,2,16600,33200,工場渡し
3月16日,1032384,かすみヶ丘,428,,225,18  -12  -20 -BB,1.75,16100,28175,工場渡し
3月18日,113666,嘉島町上島造成工事,428,,225,18  -12  -20 -BB,4,17100,68400,
3月18日,1010041,北区麻生田4丁目造成工事,428,,253,24  -12  -20 -BB,3.5,21000,73500,
3月18日,1010194,富合廻江３期,428,,253,24  -12  -20 -BB,0.75,20000,15000,工場渡し
3月18日,1032384,かすみヶ丘,428,,224,18  -10  -20 -BB,1.5,16100,24150,工場渡し
3月19日,1008910,熊本市南区富合町小岩瀬造成工事,428,,225,18  -12  -20 -BB,3,20100,60300,
3月19日,1032384,かすみヶ丘地区住宅開発造成工事,428,,223,18  -8   -20 -BB,8,17100,136800,
3月19日,1032384,かすみヶ丘地区住宅開発造成工事,428,,224,18  -10  -20 -BB,1.25,17100,21375,
3月19日,,かすみヶ丘地区住宅開発造成工事,428,,,空積料,1台,2500,2500,
3月20日,1008773,宇土,428,,225,18  -12  -20 -BB,4,21100,84400,休日割増
3月20日,1010041,北区麻生田4丁目造成工事,428,,224,18  -10  -20 -BB,2,20100,40200,工場渡し 休日割増
3月21日,114510,会富造成工事,428,,225,18  -12  -20 -BB,1.5,19100,28650,工場渡し
3月21日,1007784,北区高平3丁目造成工事,428,,225,18  -12  -20 -BB,1,19100,19100,工場渡し
3月21日,1007784,北区高平3丁目造成工事,428,,226,18  -15  -20 -BB,1,19200,19200,工場渡し
3月21日,1010041,麻生田4丁目,428,,225,18  -12  -20 -BB,0.75,19100,14325,工場渡し
3月21日,1032384,かすみヶ丘,428,,224,18  -10  -20 -BB,0.5,16100,8050,工場渡し
3月21日,1032384,かすみヶ丘,428,,225,18  -12  -20 -BB,6.25,17100,106875,
3月21日,1737680,新山原水線活力創出基盤交付金（改築）道路改良その２,428,,253,24  -12  -20 -BB,7.5,18000,135000,
3月21日,1737680,新山原水線活力創出基盤交付金（,428,,204,試験一式,1,8000,8000,
,,,,,,,,,,
,,,,,,　,,,,
869-1101,菊池郡菊陽町津久礼７９２－２１,,,株式会社　東築建設,428,3,2024 年 03 月 31 日,,,
3月21日,1737680,新山原水線活力創出基盤交付金（,428,,224,外部試験代行(圧縮),1,8000,8000,
3月21日,1737680,新山原水線活力創出基盤交付金（,428,,321,塩分試験一式,1,2000,2000,
3月22日,114510,会富造成工事,428,,225,18  -12  -20 -BB,1.75,19100,33425,工場渡し
3月22日,1008773,宇土,428,,225,18  -12  -20 -BB,4.5,20100,90450,
3月22日,1008910,熊本市南区富合町小岩瀬造成工事,428,,225,18  -12  -20 -BB,0.5,19100,9550,工場渡し
3月22日,1010041,麻生田４丁目,428,,225,18  -12  -20 -BB,1,19100,19100,工場渡し
3月22日,1010194,富合廻江３期,428,,252,24  -10  -20 -BB,0.5,20000,10000,工場渡し
3月22日,1032384,かすみヶ丘,428,,225,18  -12  -20 -BB,3.75,17100,64125,
3月22日,1737738,長塚2号線,428,,223,18  -8   -20 -BB,0.5,16100,8050,工場渡し
3月23日,1010041,北区麻生田4丁目造成工事,428,,223,18  -8   -20 -BB,1.25,19100,23875,工場渡し
3月23日,1010041,麻生田4丁目,428,,563,再生ｸﾗｯｼｬﾗﾝ積込,2,1000,2000,2ｔ車
3月23日,1737738,長塚2号線,428,,223,18  -8   -20 -BB,0.75,16100,12075,工場渡し
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,【合    計】,152.3,,2877392,
,,,,,,　,,,,
862-0950,熊本市中央区水前寺６－４３－１０,,,株式会社 イケダプランニング,15,1,2024 年 03 月 31 日,,,
3月2日,5566,(仮称)武蔵ヶ丘八丁目賃貸マンション新築,99731,,37,21  -8   -20 -N,1.5,15700,23550,
3月2日,5566,(仮称)武蔵ヶ丘八丁目賃貸マンション新築,99731,,54,24  -15  -20 -N,22.25,16200,360450,
3月2日,5566,(仮称)武蔵ヶ丘八丁目賃貸マンション新築,99731,,9103,1:3 -ﾓﾙﾀﾙ -N,0.5,25000,12500,
3月5日,5475,(仮称)城南町住宅新築工事,15,,40,21  -15  -20 -N,1.5,18300,27450,小型割増
3月7日,5423,(仮称)蓮台寺2丁目マンション新築工事,15,,26,18  -15  -20 -N,3,13300,39900,
3月7日,5762,（仮称）清水新地4丁目日中支援型グループ,15,,55,24  -18  -20 -N,64,18200,1164800,
3月7日,5762,（仮称）清水新地4丁目日中支援型グループ,15,,204,試験一式,1,8000,8000,
3月7日,5762,（仮称）清水新地4丁目日中支援型グループ,15,,224,外部試験代行(圧縮),1,8000,8000,
3月7日,5762,（仮称）清水新地4丁目日中支援型グループ,15,,321,塩分試験一式,1,2000,2000,
3月12日,5563,（仮称）田迎3丁目有料老人ホーム新築工事,15,,118,36  -18  -20 -N,324,18200,5896800,
3月12日,5563,（仮称）田迎3丁目有料老人ホーム新築工事,15,,204,試験一式,3,8000,24000,
3月12日,5563,（仮称）田迎3丁目有料老人ホーム新築工事,15,,224,外部試験代行(圧縮),3,8000,24000,
3月12日,5563,（仮称）田迎3丁目有料老人ホーム新築工事,15,,321,塩分試験一式,3,2000,6000,
3月13日,5762,（仮称）清水新地4丁目日中支援型グループ,15,,55,24  -18  -20 -N,9,18200,163800,
3月13日,1010774,㈲吉野農業農業用倉庫新築工事,91337,,40,21  -15  -20 -N,10,20800,208000,
3月16日,5475,(仮称)城南町住宅新築工事,15,,54,24  -15  -20 -N,4.5,16200,72900,
3月18日,5564,（仮称）龍田弓削1丁目マンション新築工事,15,,55,24  -18  -20 -N,69,16200,1117800,
3月18日,5564,（仮称）龍田弓削1丁目マンション新築工事,15,,9103,1:3 -ﾓﾙﾀﾙ -N,0.5,25000,12500,
3月18日,5564,（仮称）龍田弓削1丁目マンション新築工事,15,,204,試験一式,1,8000,8000,
3月18日,5564,（仮称）龍田弓削1丁目マンション新築工事,15,,222,塩分試験支給,1,500,500,
3月18日,5564,（仮称）龍田弓削1丁目マンション新築工事,15,,224,外部試験代行(圧縮),1,8000,8000,
3月18日,5564,（仮称）龍田弓削1丁目マンション新築工事,15,,312,追加採取,1,3000,3000,
3月19日,5423,(仮称)蓮台寺2丁目マンション新築工事,15,,55,24  -18  -20 -N,6.5,14200,92300,
3月21日,5475,(仮称)城南町住宅新築工事,15,,40,21  -15  -20 -N,2,15800,31600,
